dataset,node,sensor,state,offset
without_global_attack,node_synthetic_5,shunt_voltage,charging,-33.669172548044
without_global_attack,node_synthetic_5,bus_voltage_V,charging,-0.0035062634953781924
without_global_attack,node_synthetic_5,current_mA,charging,-76.72237288303921
without_global_attack,node_synthetic_5,power_mW,charging,547.3523820402734
without_global_attack,node_synthetic_6,shunt_voltage,idle,-33.75924731219061
without_global_attack,node_synthetic_6,bus_voltage_V,idle,0.0030394937530804356
without_global_attack,node_synthetic_6,current_mA,idle,121.11769262951225
without_global_attack,node_synthetic_6,power_mW,idle,221.36916793829187
without_global_attack,node_synthetic_6,shunt_voltage,charging,71.00561242599724
without_global_attack,node_synthetic_6,bus_voltage_V,charging,-0.01508259897703823
without_global_attack,node_synthetic_6,current_mA,charging,103.85095261764968
without_global_attack,node_synthetic_6,power_mW,charging,52.17577343305766
without_global_attack,node_synthetic_7,shunt_voltage,idle,-0.6512465294019876
without_global_attack,node_synthetic_7,bus_voltage_V,idle,-0.005994737587072585
without_global_attack,node_synthetic_7,current_mA,idle,-76.61850072452023
without_global_attack,node_synthetic_7,power_mW,idle,-174.24582487106636
without_global_attack,node_synthetic_7,shunt_voltage,charging,-20.385026404405608
without_global_attack,node_synthetic_7,bus_voltage_V,charging,-0.0014161851434302264
without_global_attack,node_synthetic_7,current_mA,charging,26.825541842411894
without_global_attack,node_synthetic_7,power_mW,charging,-351.9175621420727
without_global_attack,node_synthetic_8,shunt_voltage,idle,7.363295351284364
without_global_attack,node_synthetic_8,bus_voltage_V,idle,-0.0006412084075924085
without_global_attack,node_synthetic_8,current_mA,idle,27.48966534271119
without_global_attack,node_synthetic_8,power_mW,idle,-93.04133706992343
without_global_attack,node_synthetic_8,shunt_voltage,charging,30.431706549826345
without_global_attack,node_synthetic_8,bus_voltage_V,charging,0.005525429089116685
without_global_attack,node_synthetic_8,current_mA,charging,144.40849961240656
without_global_attack,node_synthetic_8,power_mW,charging,77.07452760780461
with_global_attack,node_synthetic_1,shunt_voltage,idle,76.24648135921916
with_global_attack,node_synthetic_1,bus_voltage_V,idle,0.013551697972925325
with_global_attack,node_synthetic_1,current_mA,idle,-23.018196895830783
with_global_attack,node_synthetic_1,power_mW,idle,-41.1313143861762
with_global_attack,node_synthetic_1,shunt_voltage,charging,-99.59985370533605
with_global_attack,node_synthetic_1,bus_voltage_V,charging,-0.014388177560928916
with_global_attack,node_synthetic_1,current_mA,charging,44.28617338598042
with_global_attack,node_synthetic_1,power_mW,charging,-313.7480193849774
with_global_attack,node_synthetic_2,shunt_voltage,idle,34.12240990609621
with_global_attack,node_synthetic_2,bus_voltage_V,idle,0.0033130359895903183
with_global_attack,node_synthetic_2,current_mA,idle,-8.341920874174491
with_global_attack,node_synthetic_2,power_mW,idle,247.66365166907508
with_global_attack,node_synthetic_2,shunt_voltage,charging,-131.3633959603103
with_global_attack,node_synthetic_2,bus_voltage_V,charging,-0.004256000167735863
with_global_attack,node_synthetic_2,current_mA,charging,72.32745881589187
with_global_attack,node_synthetic_2,power_mW,charging,152.91651476469906
with_global_attack,node_synthetic_3,shunt_voltage,idle,47.14041780208561
with_global_attack,node_synthetic_3,bus_voltage_V,idle,-0.0006548746551144902
with_global_attack,node_synthetic_3,current_mA,idle,67.54499068940095
with_global_attack,node_synthetic_3,power_mW,idle,129.04951208485636
with_global_attack,node_synthetic_3,shunt_voltage,charging,-60.964665902234174
with_global_attack,node_synthetic_3,bus_voltage_V,charging,0.0007444651908805611
with_global_attack,node_synthetic_3,current_mA,charging,-160.04021090336744
with_global_attack,node_synthetic_3,power_mW,charging,238.09774125377226
with_global_attack,node_synthetic_4,shunt_voltage,idle,41.150416387560995
with_global_attack,node_synthetic_4,bus_voltage_V,idle,-0.001496340985635669
with_global_attack,node_synthetic_4,current_mA,idle,-36.15885268134434
with_global_attack,node_synthetic_4,power_mW,idle,-439.7159470303186
with_global_attack,node_synthetic_4,shunt_voltage,charging,9.645389320285176
with_global_attack,node_synthetic_4,bus_voltage_V,charging,-0.00211331425682193
with_global_attack,node_synthetic_4,current_mA,charging,-225.6873107014037
with_global_attack,node_synthetic_4,power_mW,charging,-453.94768157105545
with_global_attack,node_synthetic_5,shunt_voltage,idle,2.6886613964587696
with_global_attack,node_synthetic_5,bus_voltage_V,idle,-0.003942121564908696
with_global_attack,node_synthetic_5,current_mA,idle,-37.41870995630643
with_global_attack,node_synthetic_5,power_mW,idle,268.5106417374209
with_global_attack,node_synthetic_5,shunt_voltage,charging,55.62227258013729
with_global_attack,node_synthetic_5,bus_voltage_V,charging,-0.0073108977477227555
with_global_attack,node_synthetic_5,current_mA,charging,32.235223714000085
with_global_attack,node_synthetic_5,power_mW,charging,14.677509983114305
with_global_attack,node_synthetic_6,shunt_voltage,idle,49.99012800014111
with_global_attack,node_synthetic_6,bus_voltage_V,idle,-0.00788126968480185
with_global_attack,node_synthetic_6,current_mA,idle,17.68210924770642
with_global_attack,node_synthetic_6,power_mW,idle,164.34802890854826
with_global_attack,node_synthetic_6,shunt_voltage,charging,-67.92188937253923
with_global_attack,node_synthetic_6,bus_voltage_V,charging,-0.007910491349339743
with_global_attack,node_synthetic_6,current_mA,charging,-41.10960908368338
with_global_attack,node_synthetic_6,power_mW,charging,22.67435545821536
with_global_attack,node_synthetic_7,shunt_voltage,idle,-25.99978448040156
with_global_attack,node_synthetic_7,bus_voltage_V,idle,-0.0023477308090935622
with_global_attack,node_synthetic_7,current_mA,idle,44.510885337250784
with_global_attack,node_synthetic_7,power_mW,idle,-49.77771580300032
with_global_attack,node_synthetic_7,shunt_voltage,charging,142.99857304130865
with_global_attack,node_synthetic_7,bus_voltage_V,charging,-0.004401935038882421
with_global_attack,node_synthetic_7,current_mA,charging,79.79198900940878
with_global_attack,node_synthetic_7,power_mW,charging,6.671167766300641
with_global_attack,node_synthetic_8,shunt_voltage,idle,-11.391309600977593
with_global_attack,node_synthetic_8,bus_voltage_V,idle,-0.0031169649813307387
with_global_attack,node_synthetic_8,current_mA,idle,-42.98783838364682
with_global_attack,node_synthetic_8,power_mW,idle,6.68014463628424
with_global_attack,node_synthetic_8,shunt_voltage,charging,36.36674602474943
with_global_attack,node_synthetic_8,bus_voltage_V,charging,-0.009522543154164786
with_global_attack,node_synthetic_8,current_mA,charging,78.32390071667623
with_global_attack,node_synthetic_8,power_mW,charging,12.348733779233044
